file,line,marker,text
docs/research/sanitizers/grounding/runner-integrations.md,36,FIXME,FIXME: We need to throw from here if given sanitizers can't be enabled…`; UBSan-for-Swift is left to `swiftc`                                                                                                    | quote            | `Sanitizers.swift:39-42`                                                                                                 | ✓ (◯ swiftc behavior) |
docs/research/sanitizers/grounding/tsan.md,30,FIXME,"FIXME: this is work in progress, nothing really works yet.""                                                                                                                                                                                                          | quote        | `sanitizer_deadlock_detector.h:9-17` (verbatim `:17`)                                               | ✓      |"
docs/research/sanitizers/macos-windows.md,352,TODO,TODO: remaining sanitizers` —
docs/research/sanitizers/macos-windows.md,559,TODO,TODO: remaining sanitizers` end.
docs/research/sanitizers/runner-integrations.md,170,TODO,TODO(golang.org/issue/29062): tests that exit with status 0 without printing
docs/research/sanitizers/runner-integrations.md,248,FIXME,FIXME: We need to throw
docs/research/sanitizers/tsan.md,174,FIXME,"FIXME: this is work in progress, nothing really works yet.`"
docs/research/sql/grounding/skunk.md,61,TODO,"TODO: turn this into an ADT of structured error types""                                                                                    | ✓                 |"
docs/research/units-of-measure/grounding/cpp-mp-units.md,71,TODO,"TODO: `// TODO the below are logarithmic units - how to support those?` + `// neper // bel // decibel` at `si/units.h` L119-122 (pre-flagged)                                                      | quote      | `systems/si/units.h:119-122`                                                                                                                                                                                                                  | **verbatim, exactly L119-122**; no `dB`/decibel anywhere else in `src/` (grep)                                                                          | ✓             |"
docs/research/units-of-measure/grounding/haskell-uom-plugin.md,77,TODO,"TODO: Find out why unQuantity (3 m s^-1) fails with ghc-8.0.2."" + the limit line                                                                                                              | ✓            |"
docs/research/units-of-measure/grounding/kotlin-measured.md,49,TODO,TODO: Kapt code generation possible?` (L244)                                                                       | quote      | `Units.kt:244`                                                                                                                   | `// TODO: Kapt code generation possible?` verbatim at L244                                                                                                                                                                        | ✓           |
docs/research/units-of-measure/grounding/kotlin-measured.md,136,TODO,TODO: Kapt`
docs/research/units-of-measure/grounding/nim-unchained.md,43,XXX,XXX:` prefix the page drops; `~` preserved); on `UnitInstance.power`. L33 is `value*: FloatType`                                                       | ✓ (note)       |
docs/research/units-of-measure/kotlin-measured.md,239,TODO,"TODO: Kapt code generation possible?`"", [`Units.kt`][units] L244). Two rules do all"
docs/research/vulkan/ocaml-olivine.md,102,TODO,TODO:
docs/research/window-system-integration/os-apis/win32/f04-frame-pacing.md,68,FIXME,"FIXME(""() stub""); return S_OK;` ([`dwmapi_main.c` lines 89–96][wine-dwmapi])."
docs/research/window-system-integration/platform-gotchas.md,145,TODO,TODO: implement INCR`). | [ICCCM spec][x11-icccm] |
docs/research/window-system-integration/slint.md,125,TODO,"TODO: winit is missing attributes.minimized */`. Minimizing is only honored on an already-mapped window. Several attributes (transparency, always-on-top, decorations toggling) are honored or ignored entirely at winit's discretion per compositor/WM."
docs/research/window-system-integration/slint.md,281,TODO,TODO: send a resize event or try to keep the logical size the same.` admitting the resize coupling is incomplete. On the KMS backend scaling is whatever the renderer reports for the single output; there is no multi-monitor.
docs/research/window-system-integration/sokol.md,269,HACK,"HACK: This is a (hopefully temporary) workaround for Chromium`), not a compositor quirk."
docs/research/window-system-integration/uno-platform.md,124,TODO,TODO: modal windows` (`:23-26`).
docs/research/window-system-integration/uno-platform.md,259,TODO,"TODO: implement INCR` (`:506`). DnD is a hand-written XDND drop handler (`X11DragDropExtension`, deriving from edrosten's `x_clipboard` sample), wired through `ClientMessage` events for `XdndEnter`/`XdndPosition`/`XdndLeave`/`XdndDrop` (`X11XamlRootHost.x11events.cs:190-197`)."
docs/specs/hue/feature-requirements.md,460,TODO,TODO: calibrate against the [window-system-integration research](../../research/window-system-integration/index.md) and empirical measurement._                                                                                                    | researched/not-started | provisional target; no benchmark gate yet                                                                                            |
docs/specs/hue/feature-requirements.md,462,TODO,TODO: calibrate against third-party editors + benchmarks._                                                                              | partial                | [gui.md](./gui.md) `RND1` (culled scroll); load/relayout unbenchmarked                                                               |
libs/base/src/sparkles/base/term_caps.d,35,TODO,TODO: upstream
libs/dmd-lsp/src/sparkles/dmd_lsp/visitor.d,220,TODO,TODO: has ident
libs/dmd-lsp/src/sparkles/dmd_lsp/visitor.d,472,TODO,TODO: check result ident
libs/dmd-lsp/src/sparkles/dmd_lsp/visitor.d,3315,TODO,TODO: struct/class not going to parent if accessed from elsewhere (but does if nested)
libs/dmd-lsp/src/sparkles/dmd_lsp/visitor.d,3316,TODO,TODO: UFCS
